Country Name,Country Code,Indicator Name,Indicator Code,Valor_Inicial,Ano_Inicial,Valor_Final,Ano_Final,Crescimento_Absoluto,Crescimento_Percentual
Samoa,WSM,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,1475.0,1990.0,1021.0,2017.0,-454.0,-30.77966101694915
San Marino,SMR,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,32.5265884399414,1990.0,33.3214111328125,2017.0,0.7948226928711009,2.443609154826361
San Marino,SMR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.20448994636536,1990.0,2.38372993469238,2017.0,-0.8207600116729799,-25.61281281608992
San Marino,SMR,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,92.9460601806641,1990.0,93.3017196655273,2017.0,0.355659484863196,0.38265149073761934
San Marino,SMR,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,95.5685577392578,1990.0,94.6519927978516,2017.0,-0.9165649414061932,-0.9590653694982835
San Marino,SMR,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,91.6167678833008,1990.0,95.3168029785156,2017.0,3.700035095214801,4.038600335615218
San Marino,SMR,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,199.0,1990.0,251.0,2017.0,52.0,26.13065326633166
Sao Tome and Principe,STP,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,51.5239791870117,1990.0,55.8172416687012,2017.0,4.293262481689503,8.332552239621585
Sao Tome and Principe,STP,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.87690997123718,1990.0,3.7568199634552,2017.0,0.8799099922180202,30.585246011004845
Sao Tome and Principe,STP,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,138.760940551758,1990.0,114.956253051758,2017.0,-23.804687500000014,-17.15517883155371
Sao Tome and Principe,STP,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,37.4833488464355,1990.0,86.1944885253906,2017.0,48.7111396789551,129.95407608460607
Sao Tome and Principe,STP,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,73.9142379760742,1990.0,82.8988876342773,2017.0,8.984649658203097,12.155506035402
Sao Tome and Principe,STP,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,559.0,1990.0,1132.0,2017.0,573.0,102.50447227191412
Saudi Arabia,SAU,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,,,,,,
Saudi Arabia,SAU,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.82608985900879,1990.0,5.13580989837646,2017.0,-0.6902799606323295,-11.8480829739514
Saudi Arabia,SAU,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,93.0454483032227,1990.0,109.47802734375,2017.0,16.4325790405273,17.660809142405032
Saudi Arabia,SAU,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,86.1668701171875,1990.0,108.287879943848,2017.0,22.121009826660497,25.672291214216997
Saudi Arabia,SAU,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,86.5625534057617,1990.0,107.936042785645,2017.0,21.373489379883296,24.69138043987119
Saudi Arabia,SAU,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,273288.0,1990.0,352688.0,2017.0,79400.0,29.05359913351483
Senegal,SEN,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,39.8846015930176,1990.0,34.8556213378906,2017.0,-5.028980255127003,-12.608826600407616
Senegal,SEN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.19777989387512,1990.0,7.39620018005371,2017.0,4.198420286178591,131.29172192933137
Senegal,SEN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,54.3895492553711,1990.0,82.1719436645508,2017.0,27.782394409179695,51.080390974992525
Senegal,SEN,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,15.1707696914673,1990.0,49.6467590332031,2017.0,34.4759893417358,227.2527369598564
Senegal,SEN,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,41.9047203063965,1990.0,57.1999206542969,2017.0,15.295200347900405,36.4999461541942
Senegal,SEN,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,11859.0,1990.0,61620.0,2017.0,49761.0,419.6053630154313
Serbia,SRB,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,48.1122016906738,1990.0,45.2564010620117,2017.0,-2.8558006286621023,-5.935709712523255
Serbia,SRB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.50148010253906,1990.0,4.17860984802246,2017.0,-0.3228702545165998,-7.17253541417377
Serbia,SRB,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,109.671501159668,1990.0,101.342918395996,2017.0,-8.328582763672003,-7.594117592633867
Serbia,SRB,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,94.1808624267578,1990.0,96.6696090698242,2017.0,2.4887466430664062,2.6425184256534546
Serbia,SRB,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,100.519790649414,1990.0,101.010841369629,2017.0,0.49105072021500007,0.48851148320399207
Serbia,SRB,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,17477.0,1990.0,18318.0,2017.0,841.0,4.812038679407221
Seychelles,SYC,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,19.5506591796875,1990.0,23.9599304199219,2017.0,4.4092712402344,22.553056649954232
Seychelles,SYC,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,9.02171039581299,1990.0,3.60644006729126,2017.0,-5.41527032852173,-60.024874341288736
Seychelles,SYC,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,99.7342834472656,1990.0,102.291122436523,2017.0,2.5568389892574004,2.563651034410175
Seychelles,SYC,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,111.029052734375,1990.0,81.6024703979492,2017.0,-29.426582336425795,-26.503497608707615
Seychelles,SYC,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,101.539367675781,1990.0,108.754722595215,2017.0,7.215354919434006,7.105967945824624
Seychelles,SYC,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,548.0,1990.0,654.0,2017.0,106.0,19.34306569343066
Sierra Leone,SLE,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,52.0420417785645,1990.0,43.0943908691406,2017.0,-8.947650909423906,-17.19312041502057
Sierra Leone,SLE,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.95053005218506,1990.0,2.66166996955872,2017.0,-2.2888600826263406,-46.23464676506884
Sierra Leone,SLE,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,51.9050102233887,1990.0,127.598937988281,2017.0,75.6939277648923,145.83164021954892
Sierra Leone,SLE,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,17.5411396026611,1990.0,43.2502593994141,2017.0,25.709119796752997,146.56470662175656
Sierra Leone,SLE,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,83.6169128417969,1990.0,65.9720611572266,2017.0,-17.6448516845703,-21.102012840338098
Sierra Leone,SLE,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,11280.0,1990.0,73970.0,2017.0,62690.0,555.7624113475177
Singapore,SGP,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,22.469820022583,1990.0,21.9836597442627,2017.0,-0.48616027832030184,-2.163614474133272
Singapore,SGP,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.32704997062683,1990.0,2.91579008102416,2017.0,-0.41125988960267,-12.361097465728383
Singapore,SGP,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,,,,,,
Singapore,SGP,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,,,,,,
Singapore,SGP,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,,,,,,
Singapore,SGP,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,10006.0,1990.0,16893.0,2017.0,6887.0,68.828702778333
Sint Maarten (Dutch part),SXM,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,,,,,,
Sint Maarten (Dutch part),SXM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,
Sint Maarten (Dutch part),SXM,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,,,,,,
Sint Maarten (Dutch part),SXM,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,,,,,,
Sint Maarten (Dutch part),SXM,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,,,,,,
Sint Maarten (Dutch part),SXM,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,318.0,1990.0,318.0,2017.0,0.0,0.0
Slovak Republic,SVK,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,28.3319492340088,1990.0,19.0513591766357,2017.0,-9.2805900573731,-32.75662391147082
Slovak Republic,SVK,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.37924003601074,1990.0,4.23856019973755,2017.0,-1.1406798362731907,-21.205222831422894
Slovak Republic,SVK,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,100.176063537598,1990.0,99.7320709228516,2017.0,-0.4439926147463922,-0.4432122795279865
Slovak Republic,SVK,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,87.2670364379883,1990.0,92.4665374755859,2017.0,5.199501037597599,5.958150121543717
Slovak Republic,SVK,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,96.3012619018555,1990.0,97.4379501342773,2017.0,1.136688232421804,1.1803461449760115
Slovak Republic,SVK,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,15859.0,1990.0,14182.0,2017.0,-1677.0,-10.574437228072387
Slovenia,SVN,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,23.6131706237793,1990.0,27.9327793121338,2017.0,4.319608688354499,18.293217616462314
Slovenia,SVN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.92384004592896,1990.0,5.48658990859985,2017.0,0.5627498626708896,11.429084970706391
